spatial_cell_id,raw_count,normalized_count,observed_days,full_month_days,normalization_factor
CELL_2588_15521,7,26,8,30,3.75
CELL_2588_15522,1,4,8,30,3.75
CELL_2588_15523,3,11,8,30,3.75
CELL_2588_15524,9,34,8,30,3.75
CELL_2588_15549,4,15,8,30,3.75
CELL_2589_15505,1,4,8,30,3.75
CELL_2589_15507,1,4,8,30,3.75
CELL_2589_15511,1,4,8,30,3.75
CELL_2589_15513,15,56,8,30,3.75
CELL_2589_15514,114,428,8,30,3.75
CELL_2589_15515,20,75,8,30,3.75
CELL_2589_15516,34,128,8,30,3.75
CELL_2589_15517,12,45,8,30,3.75
CELL_2589_15518,5,19,8,30,3.75
CELL_2589_15519,55,206,8,30,3.75
CELL_2589_15521,2,8,8,30,3.75
CELL_2589_15539,36,135,8,30,3.75
CELL_2590_15508,22,82,8,30,3.75
CELL_2590_15514,1,4,8,30,3.75
CELL_2590_15517,22,82,8,30,3.75
CELL_2590_15518,12,45,8,30,3.75
CELL_2590_15519,2,8,8,30,3.75
CELL_2590_15521,7,26,8,30,3.75
CELL_2590_15524,2,8,8,30,3.75
CELL_2590_15539,22,82,8,30,3.75
CELL_2590_15540,18,68,8,30,3.75
CELL_2590_15543,29,109,8,30,3.75
CELL_2591_15499,1,4,8,30,3.75
CELL_2591_15503,38,142,8,30,3.75
CELL_2591_15509,1,4,8,30,3.75
CELL_2591_15510,3,11,8,30,3.75
CELL_2591_15512,3,11,8,30,3.75
CELL_2591_15513,5,19,8,30,3.75
CELL_2591_15514,1,4,8,30,3.75
CELL_2591_15515,126,472,8,30,3.75
CELL_2591_15516,46,172,8,30,3.75
CELL_2591_15517,35,131,8,30,3.75
CELL_2591_15518,8,30,8,30,3.75
CELL_2591_15529,26,98,8,30,3.75
CELL_2591_15530,4,15,8,30,3.75
CELL_2591_15531,4,15,8,30,3.75
CELL_2591_15539,1,4,8,30,3.75
CELL_2591_15540,51,191,8,30,3.75
CELL_2591_15541,4,15,8,30,3.75
CELL_2591_15543,15,56,8,30,3.75
CELL_2591_15544,2,8,8,30,3.75
CELL_2591_15546,2,8,8,30,3.75
CELL_2591_15549,1,4,8,30,3.75
CELL_2592_15501,1,4,8,30,3.75
CELL_2592_15502,22,82,8,30,3.75
CELL_2592_15507,10,38,8,30,3.75
CELL_2592_15508,14,52,8,30,3.75
CELL_2592_15509,3,11,8,30,3.75
CELL_2592_15510,63,236,8,30,3.75
CELL_2592_15511,6,22,8,30,3.75
