patrol_rank,cell_lat,cell_lon,ensemble_score,pred_lgbm,pred_rolling,pred_lag1,count_lag1,rolling_mean_3m,recurrence_rate,n_active_months,persistence_score,patrol_tier
191,,,45.29659535939669,41.19319071879337,55.0,41.0,41.0,55.0,1.0,5,1.0,Tier 2 — Medium
192,,,44.82448839569642,47.44897679139285,51.0,29.0,29.0,51.0,1.0,5,1.0,Tier 2 — Medium
193,,,44.32118090426268,34.04236180852537,79.66666666666667,17.0,17.0,79.66666666666667,1.0,5,1.0,Tier 2 — Medium
194,,,43.79789168915018,39.19578337830035,38.0,64.0,64.0,38.0,1.0,5,1.0,Tier 2 — Medium
195,,,43.73245724022165,32.66491448044331,75.33333333333333,24.0,24.0,75.33333333333333,1.0,5,1.0,Tier 2 — Medium
196,,,43.43901713637909,30.67803427275818,85.0,13.0,13.0,85.0,1.0,5,1.0,Tier 2 — Medium
197,,,42.610644100117995,44.62128820023598,48.333333333333336,29.0,29.0,48.333333333333336,0.8,4,0.8666666666666667,Tier 2 — Medium
198,,,42.343333016724344,42.88666603344869,41.0,43.0,43.0,41.0,1.0,5,1.0,Tier 2 — Medium
199,,,41.44137371073809,31.482747421476173,38.333333333333336,71.0,71.0,38.333333333333336,1.0,5,1.0,Tier 2 — Medium
200,,,41.29812262597635,33.796245251952705,28.666666666666668,79.0,79.0,28.666666666666668,0.6,3,0.6666666666666666,Tier 2 — Medium
201,,,41.18652584327531,41.57305168655061,39.333333333333336,43.0,43.0,39.333333333333336,1.0,5,1.0,Tier 2 — Medium
202,,,40.85876136056548,40.31752272113096,39.666666666666664,44.0,44.0,39.666666666666664,1.0,5,1.0,Tier 2 — Medium
203,,,40.382039275022656,40.16407855004531,26.333333333333332,62.0,62.0,26.333333333333332,1.0,5,1.0,Tier 2 — Medium
204,,,39.73352505234094,38.66705010468187,42.0,39.0,39.0,42.0,1.0,5,1.0,Tier 2 — Medium
205,,,39.7015868423869,44.403173684773805,34.333333333333336,36.0,36.0,34.333333333333336,1.0,5,1.0,Tier 2 — Medium
206,,,39.49693091838718,39.393861836774356,40.666666666666664,38.0,38.0,40.666666666666664,1.0,5,1.0,Tier 2 — Medium
207,,,38.9346437195337,39.66928743906741,35.666666666666664,42.0,42.0,35.666666666666664,1.0,5,1.0,Tier 2 — Medium
